PID,Yr_Sold,Mo_Sold,Gr_Liv_Area,Longitude,Latitude,Sale_Price
0914478045,2010,5,1034,-93.600797,41.994784,169900
0914478110,2010,3,2048,-93.602002,41.994013,170000
0916125360,2010,6,1687,-93.65789400000001,41.997741,160000
0916386010,2010,5,1346,-93.649203,41.995346,220000
0916386020,2010,1,1214,-93.649201,41.995278,179781
0916386060,2010,4,1444,-93.649096,41.994284,174000
0916386090,2010,5,1968,-93.64947099999999,41.99353,269500
0916455170,2010,2,1894,-93.647645,41.995489,214900
0916475110,2010,4,1908,-93.646814,41.99435,202900
0921128020,2010,5,2018,-93.652495,41.992989,378500
0923201020,2010,6,1264,-93.60743,41.99321,169000
0923202105,2010,3,1430,-93.608372,41.990934,173500
0923204150,2010,4,1824,-93.607622,41.993253,139000
0923205015,2010,6,1344,-93.608223,41.991004,166500
0923225300,2010,5,1092,-93.60359,41.991861,83500
0923225390,2010,5,945,-93.604318,41.991758,119500
0923225440,2010,4,1112,-93.604425,41.991876,85000
0923226250,2010,3,1092,-93.603435,41.992212,76000
0923226320,2010,5,630,-93.60359,41.992119,75500
0923228270,2010,6,1092,-93.601806,41.9917,88250
0923228370,2010,6,1092,-93.603398,41.991824,85500
0923230190,2010,6,874,-93.601449,41.991558,130000
0923251080,2010,4,1188,-93.606856,41.988729,157900
0923276030,2010,4,833,-93.6035354,41.9889358,149900
0923276250,2010,2,2432,-93.6030339,41.98766,159000
0923426070,2010,3,1274,-93.600582,41.986647,136000
0924100050,2010,4,1479,-93.599791,41.9913,161000
0924151040,2010,2,1803,-93.600006,41.989848,285000
0924152030,2010,3,1797,-93.600147,41.989185,231000
0526302110,2009,10,882,-93.6188955,42.0530363,124500
0526351100,2009,6,1434,-93.619562,42.05139,157000
0526355080,2009,7,2704,-93.615524,42.049322,345000
0527105070,2009,7,1608,-93.639388,42.059956,189500
0527105130,2009,8,2283,-93.639915,42.063294,270000
0527107130,2009,6,1628,-93.6364,42.060896,189000
0527108070,2009,10,1746,-93.635838,42.062956,377500
0527110020,2009,5,1474,-93.637442,42.060598,168500
0527127100,2009,11,2522,-93.634265,42.062903,375000
0527131030,2009,10,1659,-93.633739,42.061981,278000
0527132090,2009,7,1478,-93.633547,42.061633,240000
0527146010,2009,9,1734,-93.633024,42.061178,239500
0527161040,2009,2,1382,-93.63921,42.059283,177500
0527162110,2009,12,1718,-93.639069,42.059129,185000
0527162120,2009,10,1636,-93.639069,42.059161,191000
0527163040,2009,5,1571,-93.636955,42.058274,178000
0527163070,2009,4,1470,-93.637046,42.058059,185000
0527163130,2009,7,1516,-93.637671,42.059645,181316
0527164020,2009,11,1190,-93.635824,42.058194,166000
0527164060,2009,12,1593,-93.635753,42.05793,178000
0527164090,2009,3,1481,-93.636822,42.058173,174000
0527165130,2009,7,1167,-93.636047,42.057854,173000
0527166010,2009,5,1983,-93.639325,42.058201,225000
0527180100,2009,5,1442,-93.634644,42.058747,180500
0527182110,2009,8,1360,-93.633245,42.059242,187500
0527214050,2009,7,2234,-93.627751,42.060265,501837
0527254020,2009,7,2046,-93.628639,42.059817,372500
0527258020,2009,6,1530,-93.629357,42.058439,260000
0527276160,2009,7,1934,-93.623975,42.056796,185000
0527301320,2009,8,2353,-93.637343,42.053532,260000
0527302175,2009,1,1586,-93.636512,42.055408,181000
0527326040,2009,4,1411,-93.635056,42.055081,82500
0527326150,2009,6,1602,-93.63241699999999,42.055572,215000
0527352150,2009,5,2050,-93.637774,42.05184,154000
0527353020,2009,8,1671,-93.63745,42.052507,200000
0527353060,2009,8,2673,-93.638366,42.052102,249000
0527354100,2009,6,1472,-93.63421199999999,42.052719,187500
0527354200,2009,5,1707,-93.63704299999999,42.05287999999999,184000
0527355150,2009,7,2524,-93.633796,42.052915,278000
0527356040,2009,4,1601,-93.637289,42.050345,157000
0527359050,2009,6,1370,-93.634694,42.0496539,152000
0527359180,2009,10,1868,-93.635919,42.049394,197500
0527364030,2009,6,1884,-93.639516,42.049106,240900
0527365030,2009,12,1935,-93.639511,42.051619,263435
0527366030,2009,3,1874,-93.63923079999999,42.0503771,220000
0527368010,2009,10,1811,-93.639366,42.049406,235000
0527375100,2009,6,1621,-93.632915,42.053166,213000
0527375180,2009,4,1116,-93.632178,42.052355,167900
0527375210,2009,8,1193,-93.630253,42.052448,158000
0527376100,2009,8,1350,-93.63143199999999,42.05267000000001,165000
0527378140,2009,8,2119,-93.631791,42.04891,158000
0527401160,2009,9,1792,-93.625856,42.056398,136000
0527402220,2009,8,1002,-93.626554,42.054626,148500
0527403040,2009,7,1026,-93.628707,42.055228,156000
0527404020,2009,3,1180,-93.626603,42.055184,128000
0527404030,2009,7,1050,-93.62655,42.055154,143000
0527405130,2009,9,864,-93.627037,42.05337,76500
0527405160,2009,11,864,-93.625657,42.053306,120500
0527405180,2009,7,864,-93.625542,42.053307,124500
0527425060,2009,3,864,-93.62349859999999,42.0564419,97000
0527425110,2009,7,864,-93.6223289,42.056461,130000
0527450280,2009,7,987,-93.62739599999999,42.052758,111000
0527451110,2009,5,1365,-93.628119,42.052338,125000
0527451320,2009,5,1302,-93.627565,42.051683,112000
0527451540,2009,7,987,-93.629456,42.051661,97000
0527451640,2009,5,987,-93.629851,42.051823,118000
0527451650,2009,2,1302,-93.629881,42.051822,119500
0527452060,2009,10,958,-93.627244,42.050615,143750
0527453050,2009,9,1548,-93.624729,42.050705,146000
0527453060,2009,7,1456,-93.624748,42.050705,148500
0527453140,2009,8,1055,-93.625945,42.050682,123000
0527454050,2009,6,1322,-93.625918,42.050533,147000
0527454130,2009,5,1456,-93.625846,42.050213,137900
0527455050,2009,7,1548,-93.625688,42.05009,147000
0527455060,2009,4,1441,-93.62569,42.050134,148500
0527455080,2009,4,1456,-93.625696,42.050222,138000
0527455090,2009,10,836,-93.625707,42.050397,128500
0527455240,2009,7,892,-93.62560359999999,42.0488934,100000
0527455280,2009,7,1120,-93.626521,42.048486,148800
0528102040,2009,7,1718,-93.65887699999999,42.0623099,337500
0528102140,2009,6,2772,-93.65627490000001,42.063304,462000
0528104070,2009,7,3140,-93.652716,42.063025,485000
0528106020,2009,4,2402,-93.657828,42.061902,555000
0528106070,2009,11,1652,-93.657483,42.061279999999996,325000
0528108010,2009,7,1600,-93.654241,42.062991,256300
0528108020,2009,8,2042,-93.654144,42.062992,253293
0528108040,2009,7,2690,-93.653955,42.062994,398800
0528108070,2009,7,2184,-93.652863,42.062942,335000
0528108130,2009,5,2020,-93.654439,42.062258,404000
0528108140,2009,9,2020,-93.654567,42.062257,402861
0528110010,2009,6,2296,-93.65822399999999,42.062776,451950
0528110020,2009,3,2674,-93.65783499999999,42.062789,610000
0528110090,2009,1,2822,-93.657049,42.0623985,582933
0528112040,2009,7,1736,-93.654437,42.062108,360000
0528116010,2009,4,1782,-93.658854,42.060934,296000
0528118060,2009,6,2520,-93.656737,42.060353,409900
0528120020,2009,7,1717,-93.653152,42.061382,255500
0528120030,2009,6,1743,-93.652884,42.061437,335000
0528120160,2009,1,1713,-93.654724,42.060576,274900
0528120170,2009,2,1531,-93.65476,42.060575,300000
0528138010,2009,3,1808,-93.652084,42.061678,324000
0528142040,2009,6,2224,-93.654652,42.060426,350000
0528142090,2009,3,1836,-93.65272399999999,42.060178,280000
0528142130,2009,10,1629,-93.65412669999999,42.0599123,284000
0528142150,2009,6,1760,-93.65477539999999,42.0598989,269500
0528144020,2009,9,1502,-93.643771,42.061404,233170
0528166060,2009,6,2392,-93.65603999999999,42.059241,386250
0528166090,2009,7,2452,-93.65486,42.058782,445000
0528168030,2009,6,2400,-93.6545189,42.058886,290000
0528172060,2009,7,1606,-93.65048,42.0592,255900
0528174050,2009,8,1358,-93.649779,42.059177,213000
0528174060,2009,8,1306,-93.649743,42.059179,196000
0528174070,2009,3,1306,-93.649723,42.059183,184500
0528175050,2009,5,1358,-93.650258,42.058339,212500
0528175060,2009,7,1314,-93.650244,42.058336,230000
0528176030,2009,2,2492,-93.655483,42.057177,552000
0528178010,2009,7,2200,-93.6552449,42.05851,382500
0528180120,2009,5,1884,-93.654203999999993,42.057164,320000
0528180130,2009,4,1456,-93.654215,42.057089,248500
0528186010,2009,9,1712,-93.654405,42.057019,286500
0528186180,2009,12,1324,-93.6514849,42.056983,254000
0528188020,2009,11,1405,-93.651014,42.057277,173000
0528188060,2009,7,1626,-93.650238,42.057467,173000
0528218090,2009,6,1456,-93.645752,42.06232,184000
0528220040,2009,7,1490,-93.64466,42.063183,167800
0528221060,2009,6,1484,-93.644457,42.062058,174000
0528221070,2009,3,1560,-93.645627,42.062404,174000
0528228290,2009,6,1555,-93.641561,42.062562,174000
0528228295,2009,5,1569,-93.641515,42.062557,175900
0528228435,2009,5,1555,-93.642094,42.06230499999999,192500
0528228450,2009,5,1504,-93.642597,42.062266,181000
0528228455,2009,8,1220,-93.642911,42.062081,180000
0528228460,2009,9,1145,-93.642914,42.062086,160200
0528235010,2009,7,1432,-93.642749,42.061562,188500
0528235090,2009,12,2267,-93.643312,42.059377,200000
0528235200,2009,8,1374,-93.644106,42.061739,170000
0528240030,2009,9,1630,-93.64177199999999,42.061149,189500
0528240060,2009,3,1419,-93.641488,42.061114,184100
0528240150,2009,7,1594,-93.642626,42.061656,195500
0528250020,2009,6,1489,-93.640051,42.061365,192000
0528250040,2009,5,1342,-93.640065,42.063283,178000
0528253010,2009,4,1314,-93.649649,42.058368,207500
0528275070,2009,4,2256,-93.642813,42.05859,236000
0528275160,2009,7,2004,-93.642932,42.059481,257500
0528280230,2009,7,2054,-93.641919,42.059068,244000
0528290030,2009,5,1374,-93.64425100000001,42.059605,167000
0528290120,2009,6,1800,-93.641377,42.057839,179000
0528290180,2009,6,1514,-93.641313,42.057834,190000
0528290190,2009,3,1430,-93.641303,42.057833,156000
0528292030,2009,5,2312,-93.641367,42.057098,245000
0528292040,2009,6,1675,-93.641397,42.057093,181000
0528292070,2009,6,2060,-93.641312,42.056955,214000
0528294050,2009,6,1430,-93.640879,42.058668,168000
0528315090,2009,7,2365,-93.65429,42.053749,337000
0528321010,2009,7,2794,-93.657163,42.053911,403000
0528327070,2009,9,2687,-93.650957,42.055626,327000
0528344040,2009,5,2450,-93.652608,42.053441,340000
0528344100,2009,7,2612,-93.65238,42.053041,336000
0528354050,2009,7,2344,-93.655555,42.052668,265000
0528363050,2009,6,2063,-93.655988,42.050411,315000
0528365070,2009,4,2646,-93.654048,42.049701,260000
0528385050,2009,11,2061,-93.651503,42.05161,260000
0528387030,2009,10,2232,-93.65211699999999,42.050215,263550
0528390100,2009,7,2448,-93.650529,42.049921,402000
0528390210,2009,1,1850,-93.650822,42.050971,248000
0528427020,2009,12,1468,-93.644121,42.054282,244600
0528431020,2009,9,1696,-93.64247,42.055036,275000
0528431070,2009,9,1658,-93.642553,42.054302,257500
0528435030,2009,5,1578,-93.643944,42.054152,287090
0528435050,2009,3,1702,-93.642579,42.054151,275500
